name,genre,releaseDate,plot,imdbRating,tomatoRating,metaRating,tmdbRating,movshoRating,streamOn,poster,id
Captain Marvel,"Action, Adventure, Sci-Fi",8-Mar-19,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,7.1,78,64,71,71,In Theaters or No Streaming Available at This Moment,https://d1klprjnzdvfjr.cloudfront.net/captain_marvel.jpg,
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",14-Dec-18,"Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.",8.5,78,87,84,84,In Theaters or No Streaming Available at This Moment,https://d1klprjnzdvfjr.cloudfront.net/spiderman_into_the_spiderverse.jpg,
How to Train Your Dragon: The Hidden World ,"Animation, Action, Adventure",22-Feb-19,"When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.",7.6,91,71,76,79,In Theaters or No Streaming Available at This Moment,https://d1klprjnzdvfjr.cloudfront.net/how_to_train_your_dragon_the_hidden_world.jpg,
The Boy Who Harnessed the Wind,Drama,1-Mar-19,A boy in Malawi helps his village by building a wind turbine after reading about them in a library book.,7.6,87,68,82,78,Netflix,https://d1klprjnzdvfjr.cloudfront.net/boy_who_harnessed_the_wind.jpg,
Apollo 11,"Documentary, History",1-Mar-19,A look at the Apollo 11 mission to land on the moon led by commander Neil Armstrong and pilots Buzz Aldrin and Michael Collins.,8.5,98,87,87,89,In Theaters or No Streaming Available at This Moment,https://d1klprjnzdvfjr.cloudfront.net/apollo_eleven.jpg,
Leaving Neverland,Documentary,8-Mar-19,"At the height of his stardom, the world's biggest pop star, Michael Jackson, began long-running relationships with two boys, aged seven and ten, and their families. They now allege that he sexually abused them",7.1,98,85,67,80,"HBO Now, HBO Go",https://d1klprjnzdvfjr.cloudfront.net/leaving_neverland.jpg,
The Inventor: Out for Blood in Silicon Valley,Documentary,18-Mar-19,"The story of Theranos, a multi-billion dollar tech company, its founder Elizabeth Holmes, the youngest self-made female billionaire, and the massive fraud that collapsed the company.",7.1,78,69,73,73,"HBO Now, HBO Go",https://d1klprjnzdvfjr.cloudfront.net/inventor_out_for_blood_in_silicon_valley.jpg,
Brexit,"Biography, Drama, History",19-Jan-19,Political strategist Dominic Cummings leads a popular but controversial campaign to convince British voters to leave the European Union from 2015 up until the present day.,7,79,73,66,72,"HBO Now, HBO Go",https://d1klprjnzdvfjr.cloudfront.net/brexit.jpg,
Fyre,"Documentary, Music",18-Jan-19,An exclusive behind the scenes look at the infamous unraveling of the Fyre music festival.,7.3,90,75,69,77,Netflix,https://d1klprjnzdvfjr.cloudfront.net/fyre.jpg,
Paddleton,"Comedy, Drama",22-Feb-19,An unlikely friendship between two misfit neighbors becomes an unexpectedly emotional journey when the younger man is diagnosed with terminal cancer.,7.2,92,70,70,76,Netflix,https://d1klprjnzdvfjr.cloudfront.net/paddleton.jpg,
By the Grace of God,Drama,20-Feb-19,"The three men, friends of childhood, will cross, compare their personal experiences and question their life of couple, family and professional.",7.6,90,76,77,80,In Theaters or No Streaming Available at This Moment,https://d1klprjnzdvfjr.cloudfront.net/by_the_grace_of_god.jpg,
Springsteen on Broadway,"Documentary, Music",16-Dec-18,"The intimate, final performance of Bruce Springsteen's 236-show run at Jujamcyn's Walter Kerr Theatre on Broadway.",8.6,95,87,83,88,Netflix,https://d1klprjnzdvfjr.cloudfront.net/springsteen_on_broadway.jpg,
Shazam!,"Action, Adventure, Comedy",5-Apr-19,"We all have a superhero inside us, it just takes a bit of magic to bring it out. In Billy Batson's case, by shouting out one word - SHAZAM. - this streetwise fourteen-year-old foster kid can turn into the grown-up superhero Shazam.",7.5,90,71,72,77,In Theaters or No Streaming Available at This Moment,https://d1klprjnzdvfjr.cloudfront.net/shazam.jpg,
Avengers: Endgame,"Action, Adventure, Sci-Fi",26-Apr-19,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to undo Thanos' actions and restore order to the universe.",8.3,94,78,85,85,In Theaters or No Streaming Available at This Moment,https://d1klprjnzdvfjr.cloudfront.net/avengers_endgame.jpg,
John Wick: Chapter 3 - Parabellum,"Action, Crime, Thriller",17-May-19,"Super-assassin John Wick is on the run after killing a member of the international assassin's guild, and with a $14 million price tag on his head - he is the target of hit men and women everywhere.",8,90,73,73,79,In Theaters or No Streaming Available at This Moment,https://d1klprjnzdvfjr.cloudfront.net/john_wick_chapter_three.jpg,
