name,genre,releaseDate,plot,imdbRating,tomatoRating,metaRating,tmdbRating,movshoRating,streamOn,poster,id
After Life,"Comedy, Drama",8-Mar-19,"After Tony's wife dies unexpectedly, his nice-guy persona is altered into an impulsive, devil-may-care attitude taking his old world by storm.",8.5,71,57,79,73,Netflix,https://d1klprjnzdvfjr.cloudfront.net/shows/after_life.jpg,
Catch-22,"Comedy, Crime, Drama",17-May-19,Limited series adaptation of the classic Joseph Heller novel. Follows Captain John Yossarian and airmen in World War II.,7.9,85,70,80,79,Hulu,https://d1klprjnzdvfjr.cloudfront.net/shows/catch_twenty_two.jpg,
Chernobyl,"Drama, History",6-May-19,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.",9.7,95,83,84,90,"HBO Now, HBO Go",https://d1klprjnzdvfjr.cloudfront.net/shows/chernobyl.jpg,
Dead to Me,"Comedy, Drama",3-May-19,A series about a powerful friendship that blossoms between a tightly wound widow (Applegate) and a free spirit with a shocking secret.,8.2,87,68,71,77,Netflix,https://d1klprjnzdvfjr.cloudfront.net/shows/dead_to_me.jpg,
Doom Patrol,"Action, Adventure, Comedy",15-Feb-19,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,8.3,95,70,61,77,DC Universe,https://d1klprjnzdvfjr.cloudfront.net/shows/doom_patrol.jpg,
Gentleman Jack,Drama,22-Apr-19,"A dramatization of the life of LGBTQ+ trailblazer, voracious learner and cryptic diarist Anne Lister, who returns to Halifax, West Yorkshire in 1832, determined to transform the fate of her faded ancestral home Shibden Hall.",7.9,87,76,66,77,"HBO Now, HBO Go",https://d1klprjnzdvfjr.cloudfront.net/shows/gentleman_jack.jpg,
Good Trouble,"Comedy, Drama, Romance",8-Jan-19,Callie and Mariana Foster move to Los Angeles and begin their lives as young adults.,7.5,100,83,74,83,"Freeform, Hulu",https://d1klprjnzdvfjr.cloudfront.net/shows/good_trouble.jpg,
Les Miserables,"Drama, History, Romance",14-Apr-19,"Television adaptation of Victor Hugo's classic novel, which follows Jean Valjean as he evades capture by the unyielding Inspector Javert. Set against a backdrop of post-Napoleonic France as unrest begins to grip the city of Paris once more.",7.8,96,79,82,84,PBS,https://d1klprjnzdvfjr.cloudfront.net/shows/les_miserables.jpg,
Our Planet,Documentary,5-Apr-19,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",9.4,92,88,86,90,Netflix,https://d1klprjnzdvfjr.cloudfront.net/shows/our_planet.jpg,
Pen15,Comedy,8-Feb-19,The comedic story of middle school seen through the eyes of two 7th grade girls dealing with the awkwardness of being a teenager.,7.9,95,82,70,82,Hulu,https://d1klprjnzdvfjr.cloudfront.net/shows/pen_one_five.jpg,
Ramy,Comedy,19-Apr-19,"Ramy, the son of Egyptian immigrants, is on a spiritually conflicting journey in his New Jersey neighborhood, pulled between his Muslim community that thinks life is a constant test, his millennial friends who think life is full of endless possibilities, and a God who's always watching.",8.1,97,87,70,84,Hulu,https://d1klprjnzdvfjr.cloudfront.net/shows/ramy.jpg,
Russian Doll,"Comedy, Drama, Mystery",1-Feb-19,A cynical young woman in New York City keeps dying and returning to the party that's being thrown in her honor on that same evening. She tries to find a way out of this strange time loop.,8,96,89,72,84,Netflix,https://d1klprjnzdvfjr.cloudfront.net/shows/russian_doll.jpg,
Sex Education,"Comedy, Drama",11-Jan-19,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,8.4,90,81,80,84,Netflix,https://d1klprjnzdvfjr.cloudfront.net/shows/sex_education.jpg,
Shrill,Comedy,15-Mar-19,A woman seeks out ways to change her life without changing her body.,7.4,92,74,44,71,Hulu,https://d1klprjnzdvfjr.cloudfront.net/shows/shrill.jpg,
Surviving R. Kelly,"Documentary, Music",3-Jan-19,A six-part series about the controversial R&B star R. Kelly which features several women making allegations of abuse by him.,7.7,95,86,71,82,Lifetime,https://d1klprjnzdvfjr.cloudfront.net/shows/surviving_rkelly.jpg,
The Act,"Biography, Crime, Drama",20-Mar-19,"An anthology series that tells startling, stranger-than-fiction true crime stories, including a girl trying to escape her overprotective and abusive mother.",8.1,74,91,74,80,Hulu,https://d1klprjnzdvfjr.cloudfront.net/shows/the_act.jpg,
The Other Two,Comedy,24-Jan-19,"An aspiring actor and his sister Brooke, a former professional dancer, try to find their place in the world while wrestling with their feelings about their 13-year-old brother Chase's sudden rise to internet fame.",7.4,94,79,60,77,Comedy Central,https://d1klprjnzdvfjr.cloudfront.net/shows/the_other_two.jpg,
The Umbrella Academy,"Action, Adventure, Comedy",15-Feb-19,"A disbanded group of superheroes reunites after their adoptive father, who trained them to save the world, dies.",8.1,77,62,76,74,Netflix,https://d1klprjnzdvfjr.cloudfront.net/shows/the_umbrella_academy.jpg,
Tuca & Bertie,"Animation, Comedy",3-May-19,The story of two 30-year old bird women who live in the same apartment building.,7.4,100,81,74,82,,https://d1klprjnzdvfjr.cloudfront.net/shows/tuca_and_bertie.jpg,
Watership Down,"Animation, Action, Adventure",23-Dec-18,"Fleeing their doomed warren, a colony of rabbits struggle to find and defend a new home.",7.2,77,76,70,74,,https://d1klprjnzdvfjr.cloudfront.net/shows/watership_down.jpg,
What We Do in the Shadows,"Comedy, Fantasy, Horror",27-Mar-19,"A look into the daily (or rather, nightly) lives of three vampires who've lived together for over 100 years, in Staten Island.",8.4,94,80,66,81,,https://d1klprjnzdvfjr.cloudfront.net/shows/what_we_do_in_the_shadows.jpg,
